{'fov': 31, 'n_nuclei': 149, 'n_foci': 117605}
{'fov': 170, 'n_nuclei': 185, 'n_foci': 137054}
{'fov': 161, 'n_nuclei': 162, 'n_foci': 128034}
{'fov': 7, 'n_nuclei': 160, 'n_foci': 125506}
{'fov': 193, 'n_nuclei': 240, 'n_foci': 172375}
{'fov': 37, 'n_nuclei': 239, 'n_foci': 182773}
{'fov': 62, 'n_nuclei': 177, 'n_foci': 139101}
{'fov': 169, 'n_nuclei': 178, 'n_foci': 139649}
{'fov': 128, 'n_nuclei': 147, 'n_foci': 118299}
{'fov': 194, 'n_nuclei': 189, 'n_foci': 136215}
{'fov': 0, 'n_nuclei': 160, 'n_foci': 123536}
{'fov': 30, 'n_nuclei': 126, 'n_foci': 97911}
{'fov': 162, 'n_nuclei': 180, 'n_foci': 140391}
{'fov': 96, 'n_nuclei': 212, 'n_foci': 158914}
{'fov': 8, 'n_nuclei': 214, 'n_foci': 168507}
{'fov': 72, 'n_nuclei': 206, 'n_foci': 155059}
{'fov': 160, 'n_nuclei': 148, 'n_foci': 117834}
{'fov': 81, 'n_nuclei': 219, 'n_foci': 166620}
{'fov': 6, 'n_nuclei': 158, 'n_foci': 116627}
{'fov': 102, 'n_nuclei': 206, 'n_foci': 164581}
{'fov': 74, 'n_nuclei': 156, 'n_foci': 123136}
{'fov': 36, 'n_nuclei': 224, 'n_foci': 171948}
{'fov': 172, 'n_nuclei': 183, 'n_foci': 139684}
{'fov': 61, 'n_nuclei': 241, 'n_foci': 191271}
{'fov': 127, 'n_nuclei': 161, 'n_foci': 123341}
{'fov': 126, 'n_nuclei': 192, 'n_foci': 149422}
{'fov': 105, 'n_nuclei': 149, 'n_foci': 118785}
{'fov': 171, 'n_nuclei': 183, 'n_foci': 134108}
{'fov': 9, 'n_nuclei': 189, 'n_foci': 144612}
{'fov': 95, 'n_nuclei': 196, 'n_foci': 144348}
{'fov': 163, 'n_nuclei': 176, 'n_foci': 132731}
{'fov': 29, 'n_nuclei': 154, 'n_foci': 120930}
{'fov': 97, 'n_nuclei': 214, 'n_foci': 160744}
{'foci_table': '\\\\171.65.20.231\\JudeData01\\cluade code\\ep-orca-if\\IF\\data\\anndata\\foci.parquet', 'n_foci': 25848251}
{'nuclei': '\\\\171.65.20.231\\JudeData01\\cluade code\\ep-orca-if\\IF\\data\\anndata\\nuclei.h5ad', 'foci': '\\\\171.65.20.231\\JudeData01\\cluade code\\ep-orca-if\\IF\\data\\anndata\\foci.parquet'}
analysis figures written to \\171.65.20.231\JudeData01\cluade code\ep-orca-if\IF\data\figures
