condition,feature,cliffs_delta,p,median_cond,median_ctrl,padj
drb,Pol2_foci_vol_cv,0.3251484965540372,0.0,0.8313461,0.62764144,0.0
drb,Pol2_condensed_fraction,0.4810114344706249,0.0,0.0024313894,0.00087071443,0.0
drb,Pol2_partition_coefficient,-0.04532426164830872,8.051834e-05,1.3041846,1.3257375,8.626964699942619e-05
drb,Pol2_mean_foci_intensity,-0.12248423111115492,1.6496761e-26,226.22986,237.31389,2.4745141408624294e-26
drb,Pol2_foci_local_dapi,0.24875688040075294,0.0,151.33745,145.40329,0.0
drb,coloc_Brd4_Pol2_frac,0.4757305956591662,0.0,0.010204081,0.004322144,0.0
drb,coloc_Brd4_Pol2_nn_um,-0.3548471918033924,0.0,2.1875966,2.7202487,0.0
drb,coloc_Brd4_Pol2_enrich,0.18282164723623295,0.0,2.0447304,1.7491422,0.0
drb,coloc_Pol2_Sc35_frac,-0.23581685723661738,0.0,0.0,0.0,0.0
drb,coloc_Pol2_Sc35_nn_um,0.72878974846791,0.0,1.3848935,0.86177367,0.0
drb,coloc_Pol2_Sc35_enrich,-0.22961302323978083,0.0,0.0,0.0,0.0
drb,coloc_Brd4_Sc35_frac,-0.6384991722111353,0.0,0.014519056,0.024163568,0.0
drb,coloc_Brd4_Sc35_nn_um,0.7289709619353912,0.0,1.6002985,1.3406518,0.0
drb,coloc_Brd4_Sc35_enrich,-0.08233725772145828,7.943366e-13,1.6598113,1.7261748,9.929207521290617e-13
triptolide,Brd4_n_foci,0.021326849819622185,0.06579789,703.0,703.0,0.0672932942821221
triptolide,Brd4_density_per_um3,0.1719386560934657,0.0,1.1475677,1.1175786,0.0
triptolide,Brd4_foci_vol_mean_um3,0.20653484503196906,0.0,0.38810897,0.37541276,0.0
triptolide,Brd4_foci_vol_median_um3,-0.014519335615036821,0.21027161,0.3003,0.3003,0.21027161180973053
triptolide,Brd4_foci_vol_cv,0.31553243719008495,0.0,0.83082324,0.7983599,0.0
triptolide,Brd4_condensed_fraction,0.6359275447020472,0.0,0.5958884,0.5371541,0.0
triptolide,Brd4_partition_coefficient,0.5886304453246101,0.0,1.8017273,1.6102333,0.0
triptolide,Brd4_mean_foci_intensity,0.6906858705371535,0.0,723.10345,553.60974,0.0
triptolide,Brd4_foci_local_dapi,0.058129759972642026,5.312196e-07,156.64325,155.32257,5.830459003402389e-07
triptolide,Sc35_n_foci,-0.9165784749026632,0.0,14.0,33.0,0.0
triptolide,Sc35_density_per_um3,-0.9395256074965452,0.0,0.021824382,0.0528489,0.0
triptolide,Sc35_foci_vol_mean_um3,0.9582982948891523,0.0,0.8569667,0.3154558,0.0
triptolide,Sc35_foci_vol_median_um3,0.5395508351763556,0.0,0.3849,0.23475,0.0
triptolide,Sc35_foci_vol_cv,0.7243625806234602,0.0,1.165957,0.82463044,0.0
triptolide,Sc35_condensed_fraction,0.616391965264288,0.0,0.07012735,0.046821594,0.0
triptolide,Sc35_partition_coefficient,0.6910824706868377,0.0,3.9054017,2.922511,0.0
triptolide,Sc35_mean_foci_intensity,0.2963850486754067,0.0,948.70953,793.947,0.0
triptolide,Sc35_foci_local_dapi,-0.2314273120467777,0.0,137.18958,141.27505,0.0
triptolide,DAPI_n_foci,0.0535730453453529,3.584483e-06,12.0,12.0,3.840517511629774e-06
triptolide,DAPI_density_per_um3,0.09387254695852287,5.58195e-16,0.019592833,0.018416092,6.788857827628945e-16
triptolide,DAPI_foci_vol_mean_um3,0.0656737472354667,1.4662116e-08,1.5398656,1.4588714,1.69178261143744e-08
triptolide,DAPI_foci_vol_median_um3,0.03832375382269415,0.00094611116,0.94625,0.9185,0.0009901163325276832
triptolide,DAPI_foci_vol_cv,0.06500079887652732,2.053604e-08,0.9148656,0.88428384,2.3103045476702277e-08
triptolide,DAPI_condensed_fraction,0.17334506420444518,0.0,0.02813433,0.02440473,0.0
triptolide,DAPI_partition_coefficient,0.10661231503205326,3.6764992e-20,0.85863006,0.8270206,4.7269275801626627e-20
triptolide,DAPI_mean_foci_intensity,0.09626052204478763,1.0056999e-16,130.04706,124.30377,1.2571248585661437e-16
triptolide,DAPI_foci_local_dapi,0.08340961202631525,6.223473e-13,239.86093,233.73764,7.369902000558983e-13
triptolide,Pol2_n_foci,-0.3492782781267607,0.0,3.0,6.0,0.0
triptolide,Pol2_density_per_um3,-0.3487250210931434,0.0,0.0046639326,0.008932066,0.0
triptolide,Pol2_foci_vol_mean_um3,-0.14052767196167637,7.5897538e-34,0.05657,0.06752853,1.034966422299109e-33
triptolide,Pol2_foci_vol_median_um3,-0.10910106068378222,4.6325576e-21,0.04375,0.051,6.1313261953769885e-21
triptolide,Pol2_foci_vol_cv,-0.19942494905410213,0.0,0.470284,0.62764144,0.0
triptolide,Pol2_condensed_fraction,-0.481604921920331,0.0,0.00024797523,0.00087071443,0.0
triptolide,Pol2_partition_coefficient,-0.8147932311331993,0.0,0.752787,1.3257375,0.0
triptolide,Pol2_mean_foci_intensity,-0.8560492472340653,0.0,95.10463,237.31389,0.0
triptolide,Pol2_foci_local_dapi,-0.15137518885721413,5.347044e-39,140.65463,145.40329,7.761837849103194e-39
triptolide,coloc_Brd4_Pol2_frac,-0.34175580446866305,0.0,0.0017226541,0.004322144,0.0
triptolide,coloc_Brd4_Pol2_nn_um,0.2486283500256481,0.0,3.3695998,2.7202487,0.0
triptolide,coloc_Brd4_Pol2_enrich,-0.17333938797648785,0.0,1.3615495,1.7491422,0.0
triptolide,coloc_Pol2_Sc35_frac,-0.2623217944728956,0.0,0.0,0.0,0.0
triptolide,coloc_Pol2_Sc35_nn_um,0.6373161182449383,0.0,1.8094842,0.86177367,0.0
triptolide,coloc_Pol2_Sc35_enrich,-0.25826830198093353,0.0,0.0,0.0,0.0
triptolide,coloc_Brd4_Sc35_frac,-0.8795505478611132,0.0,0.0091813365,0.024163568,0.0
triptolide,coloc_Brd4_Sc35_nn_um,0.9105080644483128,0.0,1.8181999,1.3406518,0.0
triptolide,coloc_Brd4_Sc35_enrich,-0.1431554501599155,4.895316e-35,1.5962989,1.7261748,6.88403784865966e-35
eed226,Brd4_n_foci,-0.005761057228657052,0.6219133,696.0,703.0,0.6663356934274945
eed226,Brd4_density_per_um3,0.34464975974747714,0.0,1.1920123,1.1175786,0.0
eed226,Brd4_foci_vol_mean_um3,-0.3089726507658591,0.0,0.35887527,0.37541276,0.0
eed226,Brd4_foci_vol_median_um3,-0.3143216867810147,0.0,0.2814,0.3003,0.0
eed226,Brd4_foci_vol_cv,0.07255304343039048,5.284634e-10,0.80477446,0.7983599,1.251623804598978e-09
eed226,Brd4_condensed_fraction,0.1514032089198436,2.06617e-38,0.5496087,0.5371541,1.0330850121778886e-37
eed226,Brd4_partition_coefficient,0.08208805871058589,2.1162566e-12,1.6313176,1.6102333,5.601855721021506e-12
eed226,Brd4_mean_foci_intensity,0.15844595461544753,6.665e-42,584.4576,553.60974,3.748823716684967e-41
eed226,Brd4_foci_local_dapi,0.04788485024949929,4.151819e-05,156.80313,155.32257,7.473274090443737e-05
eed226,Sc35_n_foci,-0.05900229077486796,4.3460363e-07,32.0,33.0,9.312935032669754e-07
eed226,Sc35_density_per_um3,0.1012172976081982,4.553922e-18,0.054907344,0.0528489,1.707720785265473e-17
eed226,Sc35_foci_vol_mean_um3,-0.2441636062550956,0.0,0.28617144,0.3154558,0.0
eed226,Sc35_foci_vol_median_um3,-0.20181462801466132,0.0,0.21285,0.23475,0.0
eed226,Sc35_foci_vol_cv,-0.021744476887172515,0.06270321,0.82148075,0.82463044,0.0855043733661825
eed226,Sc35_condensed_fraction,-0.04869079327559589,3.074958e-05,0.045429178,0.046821594,5.7655461205285974e-05
eed226,Sc35_partition_coefficient,0.07829904769195717,2.0521307e-11,3.0003815,2.922511,5.1303267190050406e-11
eed226,Sc35_mean_foci_intensity,0.08711958464132863,8.8317496e-14,834.58777,793.947,2.6495248865981286e-13
eed226,Sc35_foci_local_dapi,0.020149471662359364,0.08457122,141.66313,141.27505,0.11193249703330152
eed226,DAPI_n_foci,0.0995815418510475,1.25830425e-17,13.0,12.0,4.0445493836256055e-17
eed226,DAPI_density_per_um3,0.2164969695510015,0.0,0.02124484,0.018416092,0.0
